X,Y,OBJECTID,Watershed,Waterbody,Latitude,Longitude,Collection,SampleDept,FTS42,FTS42Flag,FTS62,FTS62Flag,FTS82,FTS82Flag,FOSA,FOSAFlag,NEtFOSAA,NMeFOSAA,PFBA,PFBAFlag,PFBS,PFBSFlag,PFDA,PFDAFlag,PFDoA,PFDoAFlag,PFDS,PFDSFlag,PFHpA,PFHpAFlag,PFHpS,PFHpSFlag,PFHxA,PFHxAFlag,PFHxS,PFHxSFlag,PFNA,PFNAFlag,PFNS,PFNSFlag,PFOA,PFOAFlag,PFOS,PFOSFlag,PFPeA,PFPeAFlag,PFPeS,PFPeSFlag,PFTeA,PFTeAFlag,PFTriA,PFTriAFlag,PFUnA,PFUnAFlag,PF3ONS9Cl,ADONA,ADONAFlag,GenX,GenXFlag,FTCA53,NEtFOSAAFlag,NMeFOSAAFlag,PF3OUdS11Cl,PF3OUdS11ClFlag,PF3ONS9ClFlag,FTCA53Flag
-83.3245899997287,44.4073100002564,1,Au Sable,Au Sable River,44.40731,-83.32459,2019/07/30 00:00:00+00, ,4.8,K,1.9,K,1.9,K,0.33,K,1.8,2.9,2.3, ,0.48,J,0.29,K,0.51,K,0.3,K,0.9,J,0.18,K,1.2,J,3.1,B,0.46,J,0.15,K,1.4,J,6.7, ,1.2,J,0.28,K,0.27,K,1.2,K,1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3245899997287,44.4073100002564,2,Au Sable,Au Sable River,44.40731,-83.32459,2019/11/20 00:00:00+00, ,4.9,K,1.9,K,1.9,K,0.33,K,1.8,2.9,1.7,J,0.35,J,0.29,K,0.52,K,0.3,K,0.47,J,0.18,K,0.85,J,2.4,B,0.26,K,0.15,K,1,J,2.6, ,0.7,J,0.28,K,0.27,K,1.2,K,1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3245899997287,44.4073100002564,3,Au Sable,Au Sable River,44.40731,-83.32459,2021/04/07 00:00:00+00, ,0.27,K,2.8,K,0.51,K,1.1,K,1.4,1.3,2.7,K,0.3,J,0.35,K,0.61,K,0.36,K,0.38,J,0.21,K,0.98,J,1.4,J,0.3,K,0.41,K,0.95,K,2.2, ,0.55,K,0.33,K,0.81,K,1.4,K,1.2,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3308000001199,44.41540000011,4,Au Sable,Au Sable River,44.4154,-83.3308,2019/07/30 00:00:00+00, ,4.7,K,1.8,K,1.8,K,0.32,K,1.7,2.8,2.3, ,0.61,J,0.28,K,0.5,K,0.29,K,0.63,J,0.18,J,1.6,J,3.3,B,0.36,J,0.14,K,1.7,J,6.4, ,1.2,J,0.27,K,0.26,K,1.2,K,0.99,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3308000001199,44.41540000011,5,Au Sable,Au Sable River,44.4154,-83.3308,2019/11/20 00:00:00+00, ,4.9,K,1.9,K,1.9,K,0.33,K,1.8,2.9,1.6,J,0.41,J,0.29,K,0.52,K,0.3,K,0.54,J,0.18,K,0.87,J,2.3,B,0.26,K,0.15,K,0.99,J,2.3, ,0.76,J,0.28,K,0.28,K,1.2,K,1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3308000001199,44.41540000011,6,Au Sable,Au Sable River,44.4154,-83.3308,2021/04/07 00:00:00+00, ,0.23,K,2.4,K,0.44,K,0.94,K,1.2,1.1,2.3,K,0.32,J,0.3,K,0.53,K,0.31,K,0.37,J,0.18,K,0.78,J,1.3,J,0.26,K,0.35,K,0.81,K,2.5, ,0.57,J,0.29,K,0.7,K,1.2,K,1.1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3167299996897,44.4086599995594,7,Lake Huron,Lake Huron,44.40866,-83.31673,2019/07/30 00:00:00+00,1m above bottom,4.9,K,1.9,K,1.9,K,0.33,K,1.8,2.9,0.99,J,0.21,J,0.29,K,0.52,K,0.3,K,0.59,J,0.18,K,0.55,K,0.63,J B,0.26,K,0.15,K,1.4,J,1.3,J,0.64,J,0.28,K,0.28,K,1.2,K,1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3167299996897,44.4086599995594,8,Lake Huron,Lake Huron,44.40866,-83.31673,2019/07/30 00:00:00+00,1m below surface,4.9,K,1.9,K,1.9,K,0.33,K,1.8,2.9,0.99,J,0.21,J,0.29,K,0.52,K,0.3,K,0.59,J,0.18,K,0.55,K,0.63,J B,0.26,K,0.15,K,1.4,J,1.3,J,0.64,J,0.28,K,0.28,K,1.2,K,1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3167299996897,44.4086599995594,9,Lake Huron,Lake Huron,44.40866,-83.31673,2019/07/30 00:00:00+00,Mid-Depth,4.9,K,1.9,K,1.9,K,0.33,K,1.8,2.9,0.99,J,0.21,J,0.29,K,0.52,K,0.3,K,0.59,J,0.18,K,0.55,K,0.63,J B,0.26,K,0.15,K,1.4,J,1.3,J,0.64,J,0.28,K,0.28,K,1.2,K,1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3167299996897,44.4086599995594,10,Lake Huron,Lake Huron,44.40866,-83.31673,2019/11/20 00:00:00+00,1m above bottom,5.1,K,1.9,K,1.9,K,0.34,K,1.8,3,1.2,J,0.29,J,0.3,K,0.54,K,0.31,K,0.52,J,0.18,K,0.86,J,1,J B,0.3,J,0.16,K,1.2,J,1.3,J,0.71,J,0.29,K,0.28,K,1.3,K,1.1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3167299996897,44.4086599995594,11,Lake Huron,Lake Huron,44.40866,-83.31673,2019/11/20 00:00:00+00,1m below surface,5.1,K,1.9,K,1.9,K,0.34,K,1.8,3,1.2,J,0.29,J,0.3,K,0.54,K,0.31,K,0.52,J,0.18,K,0.86,J,1,J B,0.3,J,0.16,K,1.2,J,1.3,J,0.71,J,0.29,K,0.28,K,1.3,K,1.1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3167299996897,44.4086599995594,12,Lake Huron,Lake Huron,44.40866,-83.31673,2019/11/20 00:00:00+00,Mid-Depth,5.1,K,1.9,K,1.9,K,0.34,K,1.8,3,1.2,J,0.29,J,0.3,K,0.54,K,0.31,K,0.52,J,0.18,K,0.86,J,1,J B,0.3,J,0.16,K,1.2,J,1.3,J,0.71,J,0.29,K,0.28,K,1.3,K,1.1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3167299996897,44.4086599995594,13,Lake Huron,Lake Huron,44.40866,-83.31673,2021/04/07 00:00:00+00,1m above bottom,0.22,K,2.3,K,0.43,K,0.91,K,1.2,1.1,2.4,J,0.31,J,0.3,J,0.51,K,0.3,K,0.53,J,0.18,K,1.3,J,0.93,J,0.25,K,0.34,K,1.3,J,1.8,J,0.64,J,0.28,K,0.68,K,1.2,K,1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3167299996897,44.4086599995594,14,Lake Huron,Lake Huron,44.40866,-83.31673,2021/04/07 00:00:00+00,1m below surface,0.22,K,2.3,K,0.43,K,0.91,K,1.2,1.1,2.4,J,0.31,J,0.3,J,0.51,K,0.3,K,0.53,J,0.18,K,1.3,J,0.93,J,0.25,K,0.34,K,1.3,J,1.8,J,0.64,J,0.28,K,0.68,K,1.2,K,1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3167299996897,44.4086599995594,15,Lake Huron,Lake Huron,44.40866,-83.31673,2021/04/07 00:00:00+00,Mid-Depth,0.22,K,2.3,K,0.43,K,0.91,K,1.2,1.1,2.4,J,0.31,J,0.3,J,0.51,K,0.3,K,0.53,J,0.18,K,1.3,J,0.93,J,0.25,K,0.34,K,1.3,J,1.8,J,0.64,J,0.28,K,0.68,K,1.2,K,1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3089400001808,44.4094599995794,16,Lake Huron,Lake Huron,44.40946,-83.30894,2019/07/30 00:00:00+00,1m above bottom,5.1,K,2,K,2,K,0.34,K,1.9,3,0.92,J,0.24,J,0.3,K,0.54,K,0.31,K,0.54,J,0.19,K,0.73,J,0.65,J B,0.26,K,0.16,K,1.2,J,1.2,J,0.62,J,0.29,K,0.28,K,1.3,K,1.1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3089400001808,44.4094599995794,17,Lake Huron,Lake Huron,44.40946,-83.30894,2019/07/30 00:00:00+00,1m below surface,5.1,K,2,K,2,K,0.34,K,1.9,3,0.92,J,0.24,J,0.3,K,0.54,K,0.31,K,0.54,J,0.19,K,0.73,J,0.65,J B,0.26,K,0.16,K,1.2,J,1.2,J,0.62,J,0.29,K,0.28,K,1.3,K,1.1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3089400001808,44.4094599995794,18,Lake Huron,Lake Huron,44.40946,-83.30894,2019/07/30 00:00:00+00,Mid-Depth,5.1,K,2,K,2,K,0.34,K,1.9,3,0.92,J,0.24,J,0.3,K,0.54,K,0.31,K,0.54,J,0.19,K,0.73,J,0.65,J B,0.26,K,0.16,K,1.2,J,1.2,J,0.62,J,0.29,K,0.28,K,1.3,K,1.1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3089400001808,44.4094599995794,19,Lake Huron,Lake Huron,44.40946,-83.30894,2019/11/20 00:00:00+00,1m above bottom,5,K,1.9,K,1.9,K,0.47,J,1.8,3,1.4,J,0.37,J,0.3,K,0.53,K,0.31,K,0.53,J,0.18,K,0.92,J,1.7,J B,0.26,K,0.15,K,1.2,J,2.2, ,0.81,J,0.29,K,0.28,K,1.2,K,1.1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3089400001808,44.4094599995794,20,Lake Huron,Lake Huron,44.40946,-83.30894,2019/11/20 00:00:00+00,1m below surface,5,K,1.9,K,1.9,K,0.47,J,1.8,3,1.4,J,0.37,J,0.3,K,0.53,K,0.31,K,0.53,J,0.18,K,0.92,J,1.7,J B,0.26,K,0.15,K,1.2,J,2.2, ,0.81,J,0.29,K,0.28,K,1.2,K,1.1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3089400001808,44.4094599995794,21,Lake Huron,Lake Huron,44.40946,-83.30894,2019/11/20 00:00:00+00,Mid-Depth,5,K,1.9,K,1.9,K,0.47,J,1.8,3,1.4,J,0.37,J,0.3,K,0.53,K,0.31,K,0.53,J,0.18,K,0.92,J,1.7,J B,0.26,K,0.15,K,1.2,J,2.2, ,0.81,J,0.29,K,0.28,K,1.2,K,1.1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3089400001808,44.4094599995794,22,Lake Huron,Lake Huron,44.40946,-83.30894,2019/11/20 00:00:00+00,Mid-Depth,4.9,K,1.9,K,1.9,K,0.33,K,1.8,2.9,1.4,J,0.31,J,0.29,K,0.52,K,0.3,K,0.54,J,0.18,K,0.86,J,1.6,J B,0.25,K,0.15,K,1.1,J,1.8,J,0.72,J,0.28,K,0.27,K,1.2,K,1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3089400001808,44.4094599995794,23,Lake Huron,Lake Huron,44.40946,-83.30894,2021/04/07 00:00:00+00,1m above bottom,0.23,K,2.4,K,0.44,K,0.93,K,1.2,1.1,2.3,K,0.19,K,0.29,K,0.52,K,0.3,K,0.24,K,0.18,K,0.87,J,1.1,J,0.26,K,0.35,K,1.4,J,2, ,0.47,K,0.29,K,0.69,K,1.2,K,1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3089400001808,44.4094599995794,24,Lake Huron,Lake Huron,44.40946,-83.30894,2021/04/07 00:00:00+00,1m below surface,0.23,K,2.4,K,0.44,K,0.93,K,1.2,1.1,2.3,K,0.19,K,0.29,K,0.52,K,0.3,K,0.24,K,0.18,K,0.87,J,1.1,J,0.26,K,0.35,K,1.4,J,2, ,0.47,K,0.29,K,0.69,K,1.2,K,1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3089400001808,44.4094599995794,25,Lake Huron,Lake Huron,44.40946,-83.30894,2021/04/07 00:00:00+00,Mid-Depth,0.23,K,2.4,K,0.44,K,0.93,K,1.2,1.1,2.3,K,0.19,K,0.29,K,0.52,K,0.3,K,0.24,K,0.18,K,0.87,J,1.1,J,0.26,K,0.35,K,1.4,J,2, ,0.47,K,0.29,K,0.69,K,1.2,K,1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3012400003257,44.4103399996913,26,Lake Huron,Lake Huron,44.41034,-83.30124,2019/07/30 00:00:00+00,1m above bottom,5,K,1.9,K,1.9,K,0.34,K,1.8,3,0.87,J,0.23,J,0.3,K,0.53,K,0.31,K,0.38,J,0.18,K,0.7,J,0.66,J B,0.26,K,0.15,K,1.2,J,1.1,J,0.55,J,0.29,K,0.28,K,1.3,K,1.1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3012400003257,44.4103399996913,27,Lake Huron,Lake Huron,44.41034,-83.30124,2019/07/30 00:00:00+00,1m below surface,5,K,1.9,K,1.9,K,0.34,K,1.8,3,0.87,J,0.23,J,0.3,K,0.53,K,0.31,K,0.38,J,0.18,K,0.7,J,0.66,J B,0.26,K,0.15,K,1.2,J,1.1,J,0.55,J,0.29,K,0.28,K,1.3,K,1.1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3012400003257,44.4103399996913,28,Lake Huron,Lake Huron,44.41034,-83.30124,2019/07/30 00:00:00+00,Mid-Depth,5,K,1.9,K,1.9,K,0.34,K,1.8,3,0.87,J,0.23,J,0.3,K,0.53,K,0.31,K,0.38,J,0.18,K,0.7,J,0.66,J B,0.26,K,0.15,K,1.2,J,1.1,J,0.55,J,0.29,K,0.28,K,1.3,K,1.1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3012400003257,44.4103399996913,29,Lake Huron,Lake Huron,44.41034,-83.30124,2019/11/20 00:00:00+00,1m above bottom,5.2,K,2,K,2,K,0.35,K,1.9,3.1,1.5,J,0.34,J,0.31,K,0.55,K,0.32,K,0.52,J,0.19,K,1,J,1.7,J B,0.27,K,0.16,K,1.2,J,2, ,0.67,J,0.3,K,0.29,K,1.3,K,1.1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3012400003257,44.4103399996913,30,Lake Huron,Lake Huron,44.41034,-83.30124,2019/11/20 00:00:00+00,1m below surface,5.2,K,2,K,2,K,0.35,K,1.9,3.1,1.5,J,0.34,J,0.31,K,0.55,K,0.32,K,0.52,J,0.19,K,1,J,1.7,J B,0.27,K,0.16,K,1.2,J,2, ,0.67,J,0.3,K,0.29,K,1.3,K,1.1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3012400003257,44.4103399996913,31,Lake Huron,Lake Huron,44.41034,-83.30124,2019/11/20 00:00:00+00,Mid-Depth,5.2,K,2,K,2,K,0.35,K,1.9,3.1,1.5,J,0.34,J,0.31,K,0.55,K,0.32,K,0.52,J,0.19,K,1,J,1.7,J B,0.27,K,0.16,K,1.2,J,2, ,0.67,J,0.3,K,0.29,K,1.3,K,1.1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3012400003257,44.4103399996913,32,Lake Huron,Lake Huron,44.41034,-83.30124,2021/04/07 00:00:00+00,1m above bottom,0.22,K,2.3,K,0.42,K,0.9,K,1.2,1.1,2.2,K,0.34,J,0.28,K,0.5,K,0.29,K,0.67,J I,0.17,K,0.8,J,1,J,0.25,K,0.34,K,1.2,J,1.9, ,0.45,K,0.27,K,0.67,K,1.2,K,1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3012400003257,44.4103399996913,33,Lake Huron,Lake Huron,44.41034,-83.30124,2021/04/07 00:00:00+00,1m below surface,0.22,K,2.3,K,0.42,K,0.9,K,1.2,1.1,2.2,K,0.34,J,0.28,K,0.5,K,0.29,K,0.67,J I,0.17,K,0.8,J,1,J,0.25,K,0.34,K,1.2,J,1.9, ,0.45,K,0.27,K,0.67,K,1.2,K,1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3012400003257,44.4103399996913,34,Lake Huron,Lake Huron,44.41034,-83.30124,2021/04/07 00:00:00+00,Mid-Depth,0.22,K,2.3,K,0.42,K,0.9,K,1.2,1.1,2.2,K,0.34,J,0.28,K,0.5,K,0.29,K,0.67,J I,0.17,K,0.8,J,1,J,0.25,K,0.34,K,1.2,J,1.9, ,0.45,K,0.27,K,0.67,K,1.2,K,1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3219100002462,44.4211400004107,35,Lake Huron,Lake Huron,44.42114,-83.32191,2019/07/30 00:00:00+00,1m above bottom,5,K,1.9,K,1.9,K,0.34,K,1.8,3,0.82,J,0.2,J,0.3,K,0.53,K,0.31,K,0.45,J,0.18,K,0.77,J,0.63,J B,0.26,K,0.15,K,1,J,1.2,J,0.59,J,0.29,K,0.28,K,1.3,K,1.1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3219100002462,44.4211400004107,36,Lake Huron,Lake Huron,44.42114,-83.32191,2019/07/30 00:00:00+00,1m below surface,5,K,1.9,K,1.9,K,0.34,K,1.8,3,0.82,J,0.2,J,0.3,K,0.53,K,0.31,K,0.45,J,0.18,K,0.77,J,0.63,J B,0.26,K,0.15,K,1,J,1.2,J,0.59,J,0.29,K,0.28,K,1.3,K,1.1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3219100002462,44.4211400004107,37,Lake Huron,Lake Huron,44.42114,-83.32191,2019/07/30 00:00:00+00,Mid-Depth,5,K,1.9,K,1.9,K,0.34,K,1.8,3,0.82,J,0.2,J,0.3,K,0.53,K,0.31,K,0.45,J,0.18,K,0.77,J,0.63,J B,0.26,K,0.15,K,1,J,1.2,J,0.59,J,0.29,K,0.28,K,1.3,K,1.1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3219100002462,44.4211400004107,38,Lake Huron,Lake Huron,44.42114,-83.32191,2019/11/20 00:00:00+00,1m above bottom,5.1,K,2,K,2,K,0.34,K,1.9,3,1.5,J,0.37,J,0.3,K,0.54,K,0.31,K,0.61,J,0.19,K,0.84,J,1.6,J B,0.27,K,0.16,K,1.3,J,2, ,0.85,J,0.29,K,0.28,K,1.3,K,1.1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3219100002462,44.4211400004107,39,Lake Huron,Lake Huron,44.42114,-83.32191,2019/11/20 00:00:00+00,1m below surface,5.1,K,2,K,2,K,0.34,K,1.9,3,1.5,J,0.37,J,0.3,K,0.54,K,0.31,K,0.61,J,0.19,K,0.84,J,1.6,J B,0.27,K,0.16,K,1.3,J,2, ,0.85,J,0.29,K,0.28,K,1.3,K,1.1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3219100002462,44.4211400004107,40,Lake Huron,Lake Huron,44.42114,-83.32191,2019/11/20 00:00:00+00,Mid-Depth,5.1,K,2,K,2,K,0.34,K,1.9,3,1.5,J,0.37,J,0.3,K,0.54,K,0.31,K,0.61,J,0.19,K,0.84,J,1.6,J B,0.27,K,0.16,K,1.3,J,2, ,0.85,J,0.29,K,0.28,K,1.3,K,1.1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3219100002462,44.4211400004107,41,Lake Huron,Lake Huron,44.42114,-83.32191,2021/04/07 00:00:00+00,1m above bottom,0.23,K,2.4,K,0.44,K,0.94,K,1.2,1.1,2.3,K,0.28,J,0.3,K,0.53,K,0.31,K,0.48,J,0.18,K,0.96,J,1.1,J,0.31,J,0.35,K,1.3,J,1.8,J,0.53,J,0.29,K,0.7,K,1.2,K,1.1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3219100002462,44.4211400004107,42,Lake Huron,Lake Huron,44.42114,-83.32191,2021/04/07 00:00:00+00,1m below surface,0.23,K,2.4,K,0.44,K,0.94,K,1.2,1.1,2.3,K,0.28,J,0.3,K,0.53,K,0.31,K,0.48,J,0.18,K,0.96,J,1.1,J,0.31,J,0.35,K,1.3,J,1.8,J,0.53,J,0.29,K,0.7,K,1.2,K,1.1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3219100002462,44.4211400004107,43,Lake Huron,Lake Huron,44.42114,-83.32191,2021/04/07 00:00:00+00,Mid-Depth,0.23,K,2.4,K,0.44,K,0.94,K,1.2,1.1,2.3,K,0.28,J,0.3,K,0.53,K,0.31,K,0.48,J,0.18,K,0.96,J,1.1,J,0.31,J,0.35,K,1.3,J,1.8,J,0.53,J,0.29,K,0.7,K,1.2,K,1.1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3146099999515,44.4211299999496,44,Lake Huron,Lake Huron,44.42113,-83.31461,2019/07/30 00:00:00+00,1m above bottom,5,K,1.9,K,1.9,K,0.34,K,1.8,3,0.86,J,0.2,J,0.3,K,0.53,K,0.31,K,0.46,J,0.18,K,0.79,J,0.63,J B,0.26,K,0.15,K,1.1,J,1.1,J,0.57,J,0.29,K,0.28,K,1.3,K,1.1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3146099999515,44.4211299999496,45,Lake Huron,Lake Huron,44.42113,-83.31461,2019/07/30 00:00:00+00,1m below surface,5,K,1.9,K,1.9,K,0.34,K,1.8,3,0.86,J,0.2,J,0.3,K,0.53,K,0.31,K,0.46,J,0.18,K,0.79,J,0.63,J B,0.26,K,0.15,K,1.1,J,1.1,J,0.57,J,0.29,K,0.28,K,1.3,K,1.1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3146099999515,44.4211299999496,46,Lake Huron,Lake Huron,44.42113,-83.31461,2019/07/30 00:00:00+00,Mid-Depth,5,K,1.9,K,1.9,K,0.34,K,1.8,3,0.86,J,0.2,J,0.3,K,0.53,K,0.31,K,0.46,J,0.18,K,0.79,J,0.63,J B,0.26,K,0.15,K,1.1,J,1.1,J,0.57,J,0.29,K,0.28,K,1.3,K,1.1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3146099999515,44.4211299999496,47,Lake Huron,Lake Huron,44.42113,-83.31461,2019/11/20 00:00:00+00,1m above bottom,5.1,K,2,K,2,K,0.34,K,1.9,3,1.3,J,0.29,J,0.3,K,0.54,K,0.31,K,0.55,J,0.19,K,0.83,J,1.1,J B,0.26,K,0.16,K,1.3,J,1.5,J,0.63,J,0.29,K,0.28,K,1.3,K,1.1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3146099999515,44.4211299999496,48,Lake Huron,Lake Huron,44.42113,-83.31461,2019/11/20 00:00:00+00,1m below surface,5.1,K,2,K,2,K,0.34,K,1.9,3,1.3,J,0.29,J,0.3,K,0.54,K,0.31,K,0.55,J,0.19,K,0.83,J,1.1,J B,0.26,K,0.16,K,1.3,J,1.5,J,0.63,J,0.29,K,0.28,K,1.3,K,1.1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3146099999515,44.4211299999496,49,Lake Huron,Lake Huron,44.42113,-83.31461,2019/11/20 00:00:00+00,Mid-Depth,5.1,K,2,K,2,K,0.34,K,1.9,3,1.3,J,0.29,J,0.3,K,0.54,K,0.31,K,0.55,J,0.19,K,0.83,J,1.1,J B,0.26,K,0.16,K,1.3,J,1.5,J,0.63,J,0.29,K,0.28,K,1.3,K,1.1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3146099999515,44.4211299999496,50,Lake Huron,Lake Huron,44.42113,-83.31461,2021/04/07 00:00:00+00,1m above bottom,0.23,K,2.4,K,0.43,K,0.93,K,1.2,1.1,2.3,K,0.26,J,0.29,K,0.52,K,0.3,K,0.49,J,0.18,K,1,J,1,J,0.26,K,0.35,K,1.3,J,2, ,0.63,J,0.28,K,0.69,K,1.2,K,1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3146099999515,44.4211299999496,51,Lake Huron,Lake Huron,44.42113,-83.31461,2021/04/07 00:00:00+00,1m below surface,0.23,K,2.4,K,0.43,K,0.93,K,1.2,1.1,2.3,K,0.26,J,0.29,K,0.52,K,0.3,K,0.49,J,0.18,K,1,J,1,J,0.26,K,0.35,K,1.3,J,2, ,0.63,J,0.28,K,0.69,K,1.2,K,1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3146099999515,44.4211299999496,52,Lake Huron,Lake Huron,44.42113,-83.31461,2021/04/07 00:00:00+00,Mid-Depth,0.23,K,2.4,K,0.43,K,0.93,K,1.2,1.1,2.3,K,0.26,J,0.29,K,0.52,K,0.3,K,0.49,J,0.18,K,1,J,1,J,0.26,K,0.35,K,1.3,J,2, ,0.63,J,0.28,K,0.69,K,1.2,K,1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3065000000749,44.4211499999726,53,Lake Huron,Lake Huron,44.42115,-83.3065,2019/07/30 00:00:00+00,1m above bottom,5.1,K,2,K,2,K,0.34,K,1.9,3,0.78,J,0.2,K,0.3,K,0.54,K,0.31,K,0.6,J,0.19,K,0.85,J,0.68,J B,0.27,K,0.16,K,1.3,J,1.1,J,0.49,J,0.29,K,0.28,K,1.3,K,1.1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3065000000749,44.4211499999726,54,Lake Huron,Lake Huron,44.42115,-83.3065,2019/07/30 00:00:00+00,1m below surface,5.1,K,2,K,2,K,0.34,K,1.9,3,0.78,J,0.2,K,0.3,K,0.54,K,0.31,K,0.6,J,0.19,K,0.85,J,0.68,J B,0.27,K,0.16,K,1.3,J,1.1,J,0.49,J,0.29,K,0.28,K,1.3,K,1.1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.3065000000749,44.4211499999726,55,Lake Huron,Lake Huron,44.42115,-83.3065,2019/07/30 00:00:00+00,Mid-Depth,5.1,K,2,K,2,K,0.34,K,1.9,3,0.78,J,0.2,K,0.3,K,0.54,K,0.31,K,0.6,J,0.19,K,0.85,J,0.68,J B,0.27,K,0.16,K,1.3,J,1.1,J,0.49,J,0.29,K,0.28,K,1.3,K,1.1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
